Geography,Estimate; Median value (dollars),Year
Charlottesville city,293000,2013
Chesapeake city,261600,2013
Colonial Heights city,181300,2013
Covington city,66900,2013
Danville city,87800,2013
Emporia city,104000,2013
Fairfax city,456700,2013
Falls Church city,660900,2013
Franklin city,186700,2013
Fredericksburg city,314300,2013
Galax city,112900,2013
Hampton city,195400,2013
Harrisonburg city,208100,2013
Hopewell city,139400,2013
Lexington city,262700,2013
Lynchburg city,145800,2013
Manassas city,245000,2013
Manassas Park city,213300,2013
Martinsville city,86800,2013
Newport News city,200100,2013
Norfolk city,202800,2013
Norton city,88000,2013
Petersburg city,122500,2013
Poquoson city,302400,2013
Portsmouth city,175600,2013
Radford city,144000,2013
Richmond city,196400,2013
Roanoke city,134700,2013
Salem city,170300,2013
Staunton city,169400,2013
Suffolk city,242000,2013
Virginia Beach city,267600,2013
Waynesboro city,165600,2013
Williamsburg city,311800,2013
Winchester city,224100,2013
Accomack,152500,2014
Albemarle,317300,2014
Alleghany,111600,2014
Amelia,179300,2014
Amherst,149000,2014
Appomattox,137100,2014
Arlington,594800,2014
Augusta,197600,2014
Bath,151200,2014
Bedford,196500,2014
Bland,94100,2014
Botetourt,210300,2014
Brunswick,104200,2014
Buchanan,68700,2014
Buckingham,128300,2014
Campbell,151000,2014
Caroline,188000,2014
Carroll,106100,2014
Charles City,154600,2014
Charlotte,97700,2014
Chesterfield,219800,2014
Clarke,337700,2014
Craig,146100,2014
Culpeper,243400,2014
Cumberland,133100,2014
Dickenson,72400,2014
Dinwiddie,159300,2014
Essex,158100,2014
Fairfax,486900,2014
Fauquier,351900,2014
Floyd,153700,2014
Fluvanna,214000,2014
Franklin,163000,2014
Frederick,223300,2014
Giles,107700,2014
Gloucester,225400,2014
Goochland,324800,2014
Grayson,93200,2014
Greene,244400,2014
Greensville,100400,2014
Halifax,106100,2014
Hanover,257600,2014
Henrico,217300,2014
Henry,94600,2014
Highland,181100,2014
Isle of Wight,245400,2014
James City,320000,2014
King and Queen,173300,2014
King George,280900,2014
King William,201400,2014
Lancaster,222200,2014
Lee,75400,2014
Loudoun,443100,2014
Louisa,194500,2014
Lunenburg,104200,2014
Madison,237200,2014
Mathews,263700,2014
Mecklenburg,123700,2014
Middlesex,241600,2014
Montgomery,201100,2014
Nelson,198500,2014
New Kent,247800,2014
Northampton,162500,2014
Northumberland,241500,2014
Nottoway,128800,2014
Orange,229000,2014
Page,178100,2014
Patrick,112500,2014
Pittsylvania,107800,2014
Powhatan,259500,2014
Prince Edward,155200,2014
Prince George,201600,2014
Prince William,323400,2014
Pulaski,134300,2014
Rappahannock,383700,2014
Richmond,156800,2014
Roanoke,194000,2014
Rockbridge,184200,2014
Rockingham,197300,2014
Russell,94500,2014
Scott,91700,2014
Shenandoah,201200,2014
Smyth,91200,2014
Southampton,159200,2014
Spotsylvania,245600,2014
Stafford,300000,2014
Surry,160200,2014
Sussex,124500,2014
Tazewell,89600,2014
Warren,210900,2014
Washington,134000,2014
Westmoreland,188100,2014
Wise,86300,2014
Wythe,119200,2014
York,313100,2014
Alexandria city,494400,2014
Bristol city,113200,2014
Buena Vista city,120500,2014
Charlottesville city,283100,2014
Chesapeake city,254900,2014
Colonial Heights city,176300,2014
Covington city,66000,2014
Danville city,88300,2014
Emporia city,114100,2014
Fairfax city,462800,2014
Falls Church city,665400,2014
Franklin city,170900,2014
Fredericksburg city,317000,2014
Galax city,108300,2014
Hampton city,191800,2014
Harrisonburg city,200700,2014
Hopewell city,129600,2014
Lexington city,248900,2014
Lynchburg city,147900,2014
Manassas city,257500,2014
Manassas Park city,222300,2014
Martinsville city,85800,2014
Newport News city,194600,2014
Norfolk city,196700,2014
Norton city,89900,2014
Petersburg city,114100,2014
Poquoson city,304200,2014
Portsmouth city,173700,2014
Radford city,148400,2014
Richmond city,195000,2014
Roanoke city,135600,2014
Salem city,172400,2014
Staunton city,167700,2014
Suffolk city,240200,2014
Virginia Beach city,263200,2014
Waynesboro city,161300,2014
Williamsburg city,305000,2014
Winchester city,219700,2014
Accomack,153300,2015
Albemarle,313800,2015
Alleghany,112000,2015
Amelia,170800,2015
Amherst,150100,2015
Appomattox,148200,2015
Arlington,607700,2015
Augusta,197400,2015
Bath,153700,2015
Bedford,196500,2015
Bland,100300,2015
Botetourt,208500,2015
Brunswick,105200,2015
Buchanan,71500,2015
Buckingham,131800,2015
Campbell,151500,2015
Caroline,186800,2015
Carroll,107900,2015
Charles City,159600,2015
Charlotte,94300,2015
Chesterfield,216800,2015
Clarke,329500,2015
Craig,153000,2015
Culpeper,251600,2015
Cumberland,137800,2015
Dickenson,74100,2015
Dinwiddie,155300,2015
Essex,164400,2015
Fairfax,501200,2015
Fauquier,357200,2015
Floyd,155300,2015
Fluvanna,215600,2015
Franklin,168400,2015
Frederick,225300,2015
Giles,104700,2015
Gloucester,224100,2015
Goochland,318400,2015
Grayson,91500,2015
Greene,241800,2015
Greensville,99800,2015
Halifax,104700,2015
Hanover,255400,2015
Henrico,216300,2015
Henry,95400,2015
Highland,169100,2015
Isle of Wight,243000,2015
James City,319100,2015
King and Queen,155800,2015
King George,282500,2015
King William,198500,2015
Lancaster,229100,2015
Lee,78400,2015
Loudoun,452300,2015
Louisa,193700,2015
Lunenburg,106600,2015
Madison,241200,2015
Mathews,250900,2015
Mecklenburg,125400,2015
Middlesex,245800,2015
Montgomery,205100,2015
Nelson,212000,2015
New Kent,245000,2015
Northampton,160900,2015
Northumberland,242000,2015
Nottoway,132900,2015
Orange,231200,2015
Page,176000,2015
Patrick,111100,2015
Pittsylvania,111900,2015
Powhatan,257300,2015
