Geography,Year,EmploymentPopulationRatio
Richmond,2015,41.2
Roanoke,2015,59.2
Rockbridge,2015,51.9
Rockingham,2015,61.3
Russell,2015,43.7
Scott,2015,45.3
Shenandoah,2015,57.9
Smyth,2015,50.8
Southampton,2015,52.1
Spotsylvania,2015,63.3
Stafford,2015,61.8
Surry,2015,56.2
Sussex,2015,25.0
Tazewell,2015,46.2
Warren,2015,60.8
Washington,2015,53.6
Westmoreland,2015,51.0
Wise,2015,41.3
Wythe,2015,52.9
York,2015,57.8
Alexandria city,2015,74.2
Bristol city,2015,51.3
Buena Vista city,2015,51.8
Charlottesville city,2015,60.6
Chesapeake city,2015,58.6
Colonial Heights city,2015,54.9
Covington city,2015,46.5
Danville city,2015,48.9
Emporia city,2015,46.0
Fairfax city,2015,66.5
Falls Church city,2015,72.0
Franklin city,2015,51.8
Fredericksburg city,2015,60.4
Galax city,2015,50.8
Hampton city,2015,55.2
Harrisonburg city,2015,54.6
Hopewell city,2015,52.4
Lexington city,2015,32.3
Lynchburg city,2015,53.1
Manassas city,2015,69.8
Manassas Park city,2015,68.0
Martinsville city,2015,47.2
Newport News city,2015,57.9
Norfolk city,2015,50.8
Norton city,2015,55.1
Petersburg city,2015,49.3
Poquoson city,2015,60.7
Portsmouth city,2015,54.2
Radford city,2015,44.8
Richmond city,2015,58.8
Roanoke city,2015,58.5
Salem city,2015,59.7
Staunton city,2015,56.0
Suffolk city,2015,59.3
Virginia Beach city,2015,60.4
Waynesboro city,2015,57.9
Williamsburg city,2015,44.5
Winchester city,2015,58.8
Accomack,2016,52.5
Albemarle,2016,58.7
Alleghany,2016,48.5
Amelia,2016,57.8
Amherst,2016,55.4
Appomattox,2016,53.9
Arlington,2016,74.5
Augusta,2016,56.2
Bath,2016,59.0
Bedford,2016,57.7
Bland,2016,45.4
Botetourt,2016,59.0
Brunswick,2016,47.0
Buchanan,2016,35.0
Buckingham,2016,47.4
Campbell,2016,58.4
Caroline,2016,56.4
Carroll,2016,52.6
Charles City,2016,54.5
Charlotte,2016,50.6
Chesterfield,2016,64.6
Clarke,2016,60.0
Craig,2016,47.7
Culpeper,2016,59.9
Cumberland,2016,57.8
Dickenson,2016,39.6
Dinwiddie,2016,56.0
Essex,2016,58.8
Fairfax,2016,68.0
Fauquier,2016,65.3
Floyd,2016,55.8
Fluvanna,2016,56.3
Franklin,2016,54.2
Frederick,2016,64.5
Giles,2016,55.2
Gloucester,2016,58.1
Goochland,2016,56.4
Grayson,2016,48.7
Greene,2016,59.7
Greensville,2016,41.3
Halifax,2016,50.5
Hanover,2016,65.3
Henrico,2016,65.5
Henry,2016,48.1
Highland,2016,50.3
Isle of Wight,2016,58.8
James City,2016,54.5
King and Queen,2016,53.9
King George,2016,63.5
King William,2016,63.0
Lancaster,2016,47.3
Lee,2016,37.9
Loudoun,2016,72.8
Louisa,2016,57.0
Lunenburg,2016,43.9
Madison,2016,56.1
Mathews,2016,53.4
Mecklenburg,2016,48.4
Middlesex,2016,47.1
Montgomery,2016,55.8
Nelson,2016,55.2
New Kent,2016,62.0
Northampton,2016,47.7
Northumberland,2016,46.5
Nottoway,2016,44.3
Orange,2016,56.2
Page,2016,53.8
Patrick,2016,48.1
Pittsylvania,2016,53.9
